from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
11137,5918,0,240,,
11137,5961,0,240,,
1116,12631,2,300,,
1116,12632,2,300,,
11196,11199,0,240,,
11199,11196,0,240,,
1120,1971,0,240,,
1120,2062,2,300,,
11200,1769,2,300,,
11204,2264,0,240,,
11204,2444,0,240,,
11208,6486,0,240,,
11208,6566,0,240,,
11208,6802,0,240,,
11216,11695,0,240,,
11216,9087,0,240,,
11221,10360,2,360,,
11221,11088,2,300,,
11221,11221,0,240,,
11221,11227,0,240,,
11221,11260,2,420,,
11221,12764,2,360,,
11221,932,2,420,,
11227,10360,2,360,,
11227,11260,2,420,,
11243,11243,0,240,,
11243,11247,2,300,,
11243,11295,2,300,,
11243,11707,2,300,,
11243,12716,2,300,,
11243,6753,0,240,,
11247,11243,2,300,,
11247,11247,0,240,,
11247,11295,2,360,,
11247,11707,2,300,,
11247,12716,2,360,,
11247,6753,0,240,,
11248,11246,0,240,,
11248,11253,0,240,,
11248,11266,0,240,,
11248,11267,0,240,,
11248,11269,0,240,,
11248,11289,0,240,,
11248,11763,0,240,,
11248,11788,0,240,,
11251,11251,0,240,,
11251,11286,0,240,,
11251,11287,0,240,,
11252,11251,0,240,,
11252,11252,0,240,,
11252,11286,0,240,,
11252,11287,0,240,,
11254,11398,2,300,,
11254,6754,0,240,,
11255,11255,4,0,13907291,13907272
11255,11255,4,0,13907292,13907273
11255,11255,4,0,13907293,13907274
11255,11255,4,0,13907294,13907290
11255,11255,4,0,13907295,13907275
11255,11255,4,0,13907296,13907276
11255,11255,4,0,13907297,13907277
11255,11255,4,0,13907298,13907278
11255,11255,4,0,13907299,13907279
11255,11255,4,0,13907300,13907270
11255,11255,4,0,13907301,13907280
11255,11255,4,0,13907302,13907281
11255,11255,4,0,13907303,13907282
11255,11255,4,0,13907304,13907283
11255,11255,4,0,13907305,13907284
11255,11255,4,0,13907306,13907285
11255,11255,4,0,13907307,13907286
11255,11255,4,0,13907308,13907287
11255,11255,4,0,13907309,13907288
11255,11255,4,0,13907310,13907289
11255,11255,4,0,13907311,13907271
11255,11255,4,0,13907332,13907321
11255,11255,4,0,13907333,13907324
11255,11255,4,0,13907334,13907322
11255,11255,4,0,13907335,13907323
11255,11255,4,0,13907336,13907325
11255,11255,4,0,13907337,13907326
11255,11255,4,0,13907338,13907327
11255,11255,4,0,13907339,13907328
11255,11255,4,0,13907340,13907329
11255,11255,4,0,13907341,13907330
11255,11255,4,0,13907342,13907331
11255,11255,4,0,13907343,13907312
11255,11255,4,0,13907344,13907313
11255,11255,4,0,13907345,13907314
11255,11255,4,0,13907346,13907315
11255,11255,4,0,13907347,13907316
11255,11255,4,0,13907348,13907317
11255,11255,4,0,13907349,13907318
11255,11255,4,0,13907350,13907319
11255,11255,4,0,13907351,13907320
11256,11246,0,240,,
11256,11248,0,240,,
11256,11253,0,240,,
11256,11266,0,240,,
11256,11267,0,240,,
11256,11269,0,240,,
11256,11288,0,240,,
11256,11289,0,240,,
11256,11763,0,240,,
11256,11788,0,240,,
11258,10360,0,240,,
11258,11258,4,0,13874416,13867164
11258,11258,4,0,13874417,13867165
11258,11258,4,0,13874418,13867166
11258,11258,4,0,13874419,13867167
11258,11258,4,0,13874420,13867168
11258,11258,4,0,13874421,13867170
11258,11258,4,0,13874422,13867171
11258,11258,4,0,13874423,13867172
11258,11258,4,0,13874424,13867173
11258,11258,4,0,13874425,13867174
11258,11258,4,0,13874426,13867175
11258,11258,4,0,13874427,13867176
11258,11258,4,0,13874428,13867107
11258,11258,4,0,13874429,13867108
11258,11258,4,0,13874430,13867109
11258,11258,4,0,13874431,13867110
11258,11258,4,0,13874432,13867111
11258,11258,4,0,13874433,13867112
11258,11258,4,0,13874434,13867130
11258,11258,4,0,13874435,13867131
11258,11258,4,0,13874436,13867132
11258,11258,4,0,13874437,13867133
11258,11258,4,0,13874438,13867134
11258,11258,4,0,13874439,13867135
11258,11258,4,0,13874440,13867136
11258,11258,4,0,13874441,13867106
11258,11258,4,0,13874442,13867137
11258,11258,4,0,13874443,13867138
11258,11258,4,0,13874444,13867139
11258,11258,4,0,13874445,13867140
11258,11258,4,0,13874446,13867141
11258,11258,4,0,13874447,13867142
11258,11258,4,0,13874448,13867143
11258,11258,4,0,13874449,13867144
11258,11258,4,0,13874450,13867145
11258,11258,4,0,13874451,13867146
11258,11258,4,0,13874452,13867147
11258,11258,4,0,13874453,13867148
11258,11258,4,0,13874454,13867149
11258,11258,4,0,13874455,13867150
11258,11258,4,0,13874456,13867151
11258,11258,4,0,13874457,13867153
11258,11258,4,0,13874458,13867114
11258,11258,4,0,13874459,13867115
11258,11258,4,0,13874460,13867116
11258,11258,4,0,13874461,13867117
11258,11258,4,0,13874462,13867118
11258,11258,4,0,13874463,13867169
11258,11258,4,0,13874464,13867119
11258,11258,4,0,13874465,13867120
11258,11258,4,0,13874466,13867121
11258,11258,4,0,13874467,13867122
11258,11258,4,0,13874468,13867123
11258,11258,4,0,13874469,13867124
11258,11258,4,0,13874470,13867125
11258,11258,4,0,13874471,13867126
11258,11258,4,0,13874472,13867127
11258,11258,4,0,13874473,13867128
11258,11258,4,0,13874474,13867129
11258,11258,4,0,13874475,13867154
11258,11258,4,0,13874476,13867155
11258,11258,4,0,13874477,13867156
11258,11258,4,0,13874478,13867152
11258,11258,4,0,13874479,13867113
11258,11258,4,0,13874480,13867113
11258,11258,4,0,13874481,13867157
11258,11258,4,0,13874482,13867158
11258,11258,4,0,13874483,13867159
11258,11258,4,0,13874484,13867162
11258,11258,4,0,13874485,13867152
11258,11258,4,0,13874486,13867160
11258,11258,4,0,13874487,13867128
11258,11258,4,0,13874488,13867129
11258,11258,4,0,13874489,13867154
11258,11258,4,0,13874490,13867155
11258,11258,4,0,13874491,13867156
11258,11258,4,0,13874492,13867157
11258,11258,4,0,13874493,13867158
11258,11258,4,0,13874494,13867159
11258,11258,4,0,13874495,13867162
11258,11258,4,0,13874496,13867160
11258,11258,4,0,13874497,13867161
11258,11258,4,0,13874498,13867161
11258,11258,4,0,13874499,13867163
11258,11258,4,0,13874570,13867253
11258,11258,4,0,13874571,13867305
11258,11258,4,0,13874572,13867303
11258,11258,4,0,13874573,13867304
11258,11258,4,0,13874574,13867306
11258,11258,4,0,13874575,13867307
11258,11258,4,0,13874576,13867308
11258,11258,4,0,13874577,13867309
11258,11258,4,0,13874578,13867310
11258,11258,4,0,13874579,13867311
11258,11258,4,0,13874580,13867312
11258,11258,4,0,13874581,13867260
11258,11258,4,0,13874582,13867313
11258,11258,4,0,13874583,13867314
11258,11258,4,0,13874584,13867315
11258,11258,4,0,13874585,13867316
11258,11258,4,0,13874586,13867254
11258,11258,4,0,13874587,13867285
11258,11258,4,0,13874588,13867256
11258,11258,4,0,13874589,13867288
11258,11258,4,0,13874590,13867257
11258,11258,4,0,13874591,13867258
11258,11258,4,0,13874592,13867259
11258,11258,4,0,13874593,13867289
11258,11258,4,0,13874594,13867255
11258,11258,4,0,13874595,13867261
11258,11258,4,0,13874596,13867262
11258,11258,4,0,13874597,13867263
11258,11258,4,0,13874598,13867275
11258,11258,4,0,13874599,13867276
11258,11258,4,0,13874600,13867277
11258,11258,4,0,13874601,13867278
11258,11258,4,0,13874602,13867279
11258,11258,4,0,13874603,13867280
11258,11258,4,0,13874604,13867283
11258,11258,4,0,13874605,13867284
11258,11258,4,0,13874606,13867290
11258,11258,4,0,13874607,13867291
11258,11258,4,0,13874608,13867268
11258,11258,4,0,13874609,13867292
11258,11258,4,0,13874610,13867293
11258,11258,4,0,13874611,13867294
11258,11258,4,0,13874612,13867295
11258,11258,4,0,13874613,13867296
11258,11258,4,0,13874614,13867297
11258,11258,4,0,13874615,13867298
11258,11258,4,0,13874616,13867299
11258,11258,4,0,13874617,13867300
11258,11258,4,0,13874618,13867286
11258,11258,4,0,13874619,13867287
11258,11258,4,0,13874620,13867301
11258,11258,4,0,13874621,13867302
11258,11258,4,0,13874622,13867264
11258,11258,4,0,13874623,13867265
11258,11258,4,0,13874624,13867267
11258,11258,4,0,13874625,13867266
11258,11258,4,0,13874626,13867269
11258,11258,4,0,13874627,13867270
11258,11258,4,0,13874628,13867271
11258,11258,4,0,13874629,13867272
11258,11258,4,0,13874630,13867273
11258,11258,4,0,13874631,13867274
11258,11258,4,0,13874632,13867252
11258,11258,4,0,13874633,13867250
11258,11258,4,0,13874634,13867247
11258,11258,4,0,13874635,13867248
11258,11258,4,0,13874636,13867249
11258,11258,4,0,13874637,13867281
11258,11258,4,0,13874638,13867282
11258,11258,4,0,13874639,13867251
11258,11258,4,0,13874704,13867416
11258,11258,4,0,13874705,13867417
11258,11258,4,0,13874706,13867418
11258,11258,4,0,13874707,13867420
11258,11258,4,0,13874708,13867421
11258,11258,4,0,13874709,13867422
11258,11258,4,0,13874710,13867423
11258,11258,4,0,13874711,13867424
11258,11258,4,0,13874712,13867425
11258,11258,4,0,13874713,13867394
11258,11258,4,0,13874714,13867426
11258,11258,4,0,13874715,13867427
11258,11258,4,0,13874716,13867428
11258,11258,4,0,13874717,13867429
11258,11258,4,0,13874718,13867430
11258,11258,4,0,13874719,13867431
11258,11258,4,0,13874720,13867432
11258,11258,4,0,13874721,13867433
11258,11258,4,0,13874722,13867434
11258,11258,4,0,13874723,13867435
11258,11258,4,0,13874724,13867436
11258,11258,4,0,13874725,13867405
11258,11258,4,0,13874726,13867437
11258,11258,4,0,13874727,13867438
11258,11258,4,0,13874728,13867390
11258,11258,4,0,13874729,13867396
11258,11258,4,0,13874730,13867439
11258,11258,4,0,13874731,13867440
11258,11258,4,0,13874732,13867441
11258,11258,4,0,13874733,13867442
11258,11258,4,0,13874734,13867443
11258,11258,4,0,13874735,13867444
11258,11258,4,0,13874736,13867445
11258,11258,4,0,13874737,13867446
11258,11258,4,0,13874738,13867381
11258,11258,4,0,13874739,13867382
11258,11258,4,0,13874740,13867383
11258,11258,4,0,13874741,13867395
11258,11258,4,0,13874742,13867410
11258,11258,4,0,13874743,13867404
11258,11258,4,0,13874744,13867419
11258,11258,4,0,13874745,13867393
11258,11258,4,0,13874746,13867398
11258,11258,4,0,13874747,13867399
11258,11258,4,0,13874748,13867400
11258,11258,4,0,13874749,13867401
11258,11258,4,0,13874750,13867402
11258,11258,4,0,13874751,13867403
11258,11258,4,0,13874752,13867406
11258,11258,4,0,13874753,13867397
11258,11258,4,0,13874754,13867407
11258,11258,4,0,13874755,13867408
11258,11258,4,0,13874756,13867409
11258,11258,4,0,13874757,13867411
11258,11258,4,0,13874758,13867412
11258,11258,4,0,13874759,13867413
11258,11258,4,0,13874760,13867414
11258,11258,4,0,13874761,13867415
11258,11258,4,0,13874762,13867384
11258,11258,4,0,13874763,13867385
11258,11258,4,0,13874764,13867386
11258,11258,4,0,13874765,13867387
11258,11258,4,0,13874766,13867388
11258,11258,4,0,13874767,13867389
11258,11258,4,0,13874768,13867391
11258,11258,4,0,13874769,13867392
11258,11258,4,0,13923211,13923192
11258,11258,4,0,13923212,13923193
11258,11258,4,0,13923213,13923194
11258,11258,4,0,13923214,13923195
11258,11258,4,0,13923215,13923196
11258,11258,4,0,13923216,13923197
11258,11258,4,0,13923217,13923198
11258,11258,4,0,13923218,13923199
11258,11258,4,0,13923219,13923200
11258,11258,4,0,13923220,13923201
11258,11258,4,0,13923247,13923230
11258,11258,4,0,13923248,13923231
11258,11258,4,0,13923249,13923232
11258,11258,4,0,13923250,13923233
11258,11258,4,0,13923251,13923234
11258,11258,4,0,13923252,13923235
11258,11258,4,0,13923253,13923236
11258,11258,4,0,13923254,13923237
11258,11276,2,360,,
11258,11277,2,300,,
11259,12232,2,360,,
11259,12240,2,360,,
11260,10360,0,240,,
11260,11221,2,420,,
11260,11227,2,420,,
11260,11258,0,240,,
11260,11260,0,240,,
11260,11260,4,0,13867036,13874348
11260,11260,4,0,13867037,13874390
11260,11260,4,0,13867038,13874391
11260,11260,4,0,13867039,13874392
11260,11260,4,0,13867040,13874393
11260,11260,4,0,13867041,13874394
11260,11260,4,0,13867042,13874395
11260,11260,4,0,13867043,13874396
