route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6654,2,13882383,136 Lougheed Station,,0,2091287,289932,0,1
6654,2,13882384,136 Lougheed Station,,0,2091290,289932,0,1
6654,2,13882385,136 Lougheed Station,,0,2091289,289932,0,1
6654,2,13882386,136 Lougheed Station,,0,2091283,289932,0,1
6654,2,13882387,136 Lougheed Station,,0,2091286,289932,0,1
6654,2,13882388,136 Brentwood Station,,1,2091290,289933,0,1
6654,2,13882389,136 Brentwood Station,,1,2091292,289933,0,1
6654,2,13882390,136 Brentwood Station,,1,2091290,289933,0,1
6654,2,13882391,136 Brentwood Station,,1,2091291,289933,0,1
6654,2,13882392,136 Brentwood Station,,1,2091288,289933,0,1
6654,2,13882393,136 Brentwood Station,,1,2091290,289933,0,1
6654,2,13882394,136 Brentwood Station,,1,2091289,289933,0,1
6654,2,13882395,136 Brentwood Station,,1,2091287,289933,0,1
6654,2,13882396,136 Brentwood Station,,1,2091290,289933,0,1
6654,2,13882397,136 Brentwood Station,,1,2091289,289933,0,1
6654,2,13882398,136 Brentwood Station,,1,2091287,289933,0,1
6654,2,13882399,136 Brentwood Station,,1,2091290,289933,0,1
6654,2,13882400,136 Brentwood Station,,1,2091287,289933,0,1
6654,2,13882401,136 Brentwood Station,,1,2091293,289933,0,1
6654,2,13882402,136 Brentwood Station,,1,2091292,289933,0,1
6654,2,13882403,136 Brentwood Station,,1,2091291,289933,0,1
6654,2,13882404,136 Brentwood Station,,1,2091290,289933,0,1
6654,2,13882405,136 Brentwood Station,,1,2091286,289933,0,1
6654,2,13882406,136 Brentwood Station,,1,2091286,289933,0,1
6654,2,13882407,136 Brentwood Station,,1,2091284,289933,0,1
6654,2,13882408,136 Brentwood Station,,1,2091288,289933,0,1
6654,2,13882409,136 Brentwood Station,,1,2091284,289933,0,1
6654,2,13882410,136 Brentwood Station,,1,2091288,289933,0,1
6654,2,13882411,136 Brentwood Station,,1,2091292,289933,0,1
6654,2,13882412,136 Brentwood Station,,1,2091289,289933,0,1
6654,2,13882413,136 Brentwood Station,,1,2091286,289933,0,1
6654,2,13882414,136 Brentwood Station,,1,2091283,289933,0,1
6654,2,13882415,136 Brentwood Station,,1,2091285,289933,0,1
6654,2,13882416,136 Brentwood Station,,1,2091285,289933,0,1
6654,2,13882417,136 Brentwood Station,,1,2091289,289933,0,1
6654,2,13882418,136 Brentwood Station,,1,2091285,289933,0,1
6654,2,13882419,136 Brentwood Station,,1,2091283,289933,0,1
6654,2,13882420,136 Brentwood Station,,1,2091288,289933,0,1
6654,2,13882421,136 Brentwood Station,,1,2091285,289933,0,1
6654,2,13882422,136 Brentwood Station,,1,2091283,289933,0,1
6654,3,13882423,136 Lougheed Station,,0,2091295,289932,0,1
6654,3,13882424,136 Lougheed Station,,0,2091299,289932,0,1
6654,3,13882425,136 Lougheed Station,,0,2091300,289932,0,1
6654,3,13882426,136 Lougheed Station,,0,2091299,289932,0,1
6654,3,13882427,136 Lougheed Station,,0,2091298,289932,0,1
6654,3,13882428,136 Lougheed Station,,0,2091296,289932,0,1
6654,3,13882429,136 Lougheed Station,,0,2091297,289932,0,1
6654,3,13882430,136 Lougheed Station,,0,2091296,289932,0,1
6654,3,13882431,136 Lougheed Station,,0,2091299,289932,0,1
6654,3,13882432,136 Lougheed Station,,0,2091298,289932,0,1
6654,3,13882433,136 Lougheed Station,,0,2091301,289932,0,1
6654,3,13882434,136 Lougheed Station,,0,2091294,289932,0,1
6654,3,13882435,136 Lougheed Station,,0,2091296,289932,0,1
6654,3,13882436,136 Lougheed Station,,0,2091296,289932,0,1
6654,3,13882437,136 Lougheed Station,,0,2091297,289932,0,1
6654,3,13882438,136 Lougheed Station,,0,2091295,289932,0,1
6654,3,13882439,136 Lougheed Station,,0,2091301,289932,0,1
6654,3,13882440,136 Lougheed Station,,0,2091294,289932,0,1
6654,3,13882441,136 Lougheed Station,,0,2091295,289932,0,1
6654,3,13882442,136 Lougheed Station,,0,2091294,289932,0,1
6654,3,13882443,136 Lougheed Station,,0,2091302,289932,0,1
6654,3,13882444,136 Lougheed Station,,0,2091298,289932,0,1
6654,3,13882445,136 Lougheed Station,,0,2091301,289932,0,1
6654,3,13882446,136 Lougheed Station,,0,2091294,289932,0,1
6654,3,13882447,136 Lougheed Station,,0,2091298,289932,0,1
6654,3,13882448,136 Lougheed Station,,0,2091300,289932,0,1
6654,3,13882449,136 Lougheed Station,,0,2091297,289932,0,1
6654,3,13882450,136 Lougheed Station,,0,2091303,289932,0,1
6654,3,13882451,136 Lougheed Station,,0,2091301,289932,0,1
6654,3,13882452,136 Lougheed Station,,0,2091300,289932,0,1
6654,3,13882453,136 Lougheed Station,,0,2091299,289932,0,1
6654,3,13882454,136 Lougheed Station,,0,2091300,289932,0,1
6654,3,13882455,136 Lougheed Station,,0,2091297,289932,0,1
6654,3,13882456,136 Brentwood Station,,1,2091301,289933,0,1
6654,3,13882457,136 Brentwood Station,,1,2091301,289933,0,1
6654,3,13882458,136 Brentwood Station,,1,2091301,289933,0,1
6654,3,13882459,136 Brentwood Station,,1,2091294,289933,0,1
6654,3,13882460,136 Brentwood Station,,1,2091297,289933,0,1
6654,3,13882461,136 Brentwood Station,,1,2091297,289933,0,1
6654,3,13882462,136 Brentwood Station,,1,2091303,289933,0,1
6654,3,13882463,136 Brentwood Station,,1,2091297,289933,0,1
6654,3,13882464,136 Brentwood Station,,1,2091298,289933,0,1
6654,3,13882465,136 Brentwood Station,,1,2091296,289933,0,1
6654,3,13882466,136 Brentwood Station,,1,2091297,289933,0,1
6654,3,13882467,136 Brentwood Station,,1,2091295,289933,0,1
6654,3,13882468,136 Brentwood Station,,1,2091294,289933,0,1
6654,3,13882469,136 Brentwood Station,,1,2091294,289933,0,1
6654,3,13882470,136 Brentwood Station,,1,2091300,289933,0,1
6654,3,13882471,136 Brentwood Station,,1,2091306,289933,0,1
6654,3,13882472,136 Brentwood Station,,1,2091296,289933,0,1
6654,3,13882473,136 Brentwood Station,,1,2091300,289933,0,1
6654,3,13882474,136 Brentwood Station,,1,2091295,289933,0,1
6654,3,13882475,136 Brentwood Station,,1,2091299,289933,0,1
6654,3,13882476,136 Brentwood Station,,1,2091299,289933,0,1
6654,3,13882477,136 Brentwood Station,,1,2091298,289933,0,1
6654,3,13882478,136 Brentwood Station,,1,2091299,289933,0,1
6654,3,13882479,136 Brentwood Station,,1,2091300,289933,0,1
6654,3,13882480,136 Brentwood Station,,1,2091296,289933,0,1
6654,3,13882481,136 Brentwood Station,,1,2091294,289933,0,1
6654,3,13882482,136 Brentwood Station,,1,2091296,289933,0,1
6654,3,13882483,136 Brentwood Station,,1,2091302,289933,0,1
6654,3,13882484,136 Brentwood Station,,1,2091304,289933,0,1
6654,3,13882485,136 Brentwood Station,,1,2091300,289933,0,1
6654,3,13882486,136 Brentwood Station,,1,2091298,289933,0,1
6654,3,13882487,136 Brentwood Station,,1,2091296,289933,0,1
6654,3,13882488,136 Brentwood Station,,1,2091295,289933,0,1
6656,1,13882489,143 Burquitlam Station,,0,2091307,289937,0,1
6656,1,13882490,143 Burquitlam Station,,0,2091308,289937,0,1
6656,1,13882491,143 Burquitlam Station,,0,2091307,289937,0,1
6656,1,13882492,143 Burquitlam Station,,0,2091308,289937,0,1
6656,1,13882493,143 Burquitlam Station,,0,2091307,289937,0,1
6656,1,13882494,143 Burquitlam Station,,0,2091308,289937,0,1
6656,1,13882495,143 Burquitlam Station,,0,2091307,289937,0,1
6656,1,13882496,143 Burquitlam Station,,0,2091308,289937,0,1
